,Posted,Location,Post Title,Bedrooms,Sqft,Distance,Price,Clean_location
378,2021-07-15, Herndon northern virginia ,Gorgeous 2 car Brick front Townhome for Rent,3.0,2500.0,12.8,2600,Herndon
379,2021-07-18, Herndon northern virginia ,Gorgeous 3b/2.5 hb 2 car Brick front Townhome for Rent,3.0,2500.0,12.8,2600,Herndon
380,2021-07-18, Centreville northern virginia ,End unit townhouse walkout basement,1.0,650.0,12.8,950,Centreville
381,2021-07-16, Washington district of columbia ,Gorgeous 4BR/3.5BA house in Petworth! 904A Webster Street,4.0,2482.0,12.8,4300,DC
382,2021-07-14, Herndon northern virginia ,"Gorgeous 2 car garage 3 level Brick front 3 br, 2 and 2 half bath Town",3.0,2500.0,12.8,2600,Herndon
383,2021-07-16, 108 13th St NE district of columbia ,Capitol Hill - at Lincoln Park,4.0,1300.0,12.9,4300,DC
384,2021-07-16, BROOKLAND/HOWARD/CATHOLIC U district of columbia ,2BEDROOM FOR RENT IN MODERN ROWHOUSE BA U/CHILDREN'S HOSPITAL,2.0,1400.0,12.9,1650,DC
385,2021-07-12, Brookland/Bloomingdale/Stronghold/Edgewood district of columbia ,Beautiful Row House Lots of Space & Utilities included,3.0,2150.0,12.9,3095,DC
386,2021-07-15, Capitol Hill / Northeast district of columbia ,Spacious Capitol Hill Row House,3.0,2168.0,12.9,3300,DC
387,2021-07-16, Petsworth district of columbia ,"Spacious Townhouse 3 Bd w/family rm, office & parking",3.0,2604.0,12.9,3400,DC
388,2021-07-14, great falls northern virginia ,"Four bedroom, two car garage  for rent in Great falls",4.0,3600.0,13.0,4100,Mclean
390,2021-07-17, Herndon northern virginia ,"Gorgeous 2 car garage 3 level Brick front 3 br, 2.5 b townhouse",3.0,2500.0,13.0,2600,Herndon
397,2021-07-13," Washington, DC district of columbia ",1829 H St. NE,3.0,1600.0,13.1,2650,DC
398,2021-07-13," 1266 Oates St NE, Washington, DC district of columbia ",Beautiful Trinidad home featuring hardwood floors!,3.0,1200.0,13.1,1222,DC
399,2021-07-17, Eckington DC district of columbia ,Group House,6.0,3500.0,13.1,5250,DC
402,2021-07-16, Near United States Botanic Garden district of columbia ,*~Rear Constitution Ave Lovely 2BR & 2BA Home~*,2.0,1186.0,13.1,1200,DC
403,2021-07-16,  district of columbia ,Beautiful Victorian Row Home with a Modern Flare! Parking Included!,4.0,2992.0,13.1,5000,DC
404,2021-07-16, Trinidad district of columbia ,Charming 4BR Close to H Street,4.0,1298.0,13.1,2950,DC
405,2021-07-12," Centreville , Va northern virginia ",4 bedroom 31/2 bathrooms for rent,4.0,1900.0,13.1,2300,Centreville
406,2021-07-12," Centreville, Va northern virginia ",Beautiful Recent Renovated Townhouse for Rent,4.0,1900.0,13.1,2300,Centreville
407,2021-07-12," Centreville, Va northern virginia ",Beautiful Recent Renovated Townhouse for Rent,4.0,1900.0,13.1,2300,Centreville
409,2021-07-17," Potomac, Village maryland ",Home for professional use in Potomac Village,4.0,3500.0,13.1,4250,Potomac
410,2021-07-18, Chantilly northern virginia ,Single Family House in Cul-de-sac,5.0,3400.0,13.1,3500,Chantilly
411,2021-07-18, Chantilly northern virginia ,2 Level Single Family House,4.0,2280.0,13.1,2000,Chantilly
412,2021-07-18, Chantilly northern virginia ,Single Family House Walkout Basement,1.0,1140.0,13.1,1000,Chantilly
413,2021-07-13, SE DC district of columbia ,DC 3BR 1.5BA,3.0,1700.0,13.1,2700,DC
414,2021-07-16," 2937 Fort Baker Dr SE, Washington, DC district of columbia ",Your city oasis awaits! This 3BR | 3BA detached home in Hillcrest,3.0,2550.0,13.1,1227,DC
417,2021-07-15," Petworth, Washington district of columbia ",Renovated 3 bedrooms 1 1/2 bath townhouse (5302 Illinois Ave NW),3.0,1216.0,13.2,2800,DC
418,2021-07-13, Trinidad district of columbia ,"Lovely, newly renovated 3 bedroom, 2.5 bathroom home",3.0,1900.0,13.2,4000,DC
419,2021-07-12," Washington, DC district of columbia ",LIMIT TIME,3.0,970.0,13.3,1643,DC
420,2021-07-12," Washington, DC district of columbia ",GREAT TIME TO RENT,2.0,810.0,13.3,1525,DC
421,2021-07-13, PETWORTH NW DC district of columbia ,FULLY FURNISHED 4BR HOUSE,4.0,1570.0,13.4,3800,DC
425,2021-07-16,  district of columbia ,Picturesque Row Home in Petworth! Parking Included!,3.0,1152.0,13.4,3400,DC
427,2021-07-16, Petworth district of columbia ,Renovated craftsman townhouse with private deck & patio garden,4.0,2372.0,13.4,5500,DC
428,2021-07-16, Brookland district of columbia ,"Great Location! Sunny, Modern Townhouse in Brookland, 3 bed/1bath",3.0,1200.0,13.4,2950,DC
429,2021-07-12, Northeast district of columbia ,Furnished Master Suite in Renovated Rowhouse - Utilities Included!,1.0,1632.0,13.4,1200,DC
431,2021-07-14, Fort Washington maryland ,3 Bedroom Split Level Home for rent,3.0,900.0,13.4,1200,DC
433,2021-07-13, Capitol Hill district of columbia ,English Basement-Available Immediately,1.0,600.0,13.4,1380,DC
434,2021-07-16, Trinidad district of columbia ,4 Bed /4 Bath,4.0,2400.0,13.4,4600,DC
436,2021-07-17, Centreville northern virginia ,Gorgeous Single Family Home with Golf Course View,3.0,2000.0,13.6,2800,Centreville
437,2021-07-14, Kingman Park district of columbia ,2br 1.5ba house in Kingman Park,2.0,900.0,13.6,1950,DC
438,2021-07-16, Kingman Park district of columbia ,Recently Remodeled 2BR/1.5BA Rowhome,2.0,877.0,13.6,2175,DC
441,2021-07-17, Fairfax Centreville Chantilly northern virginia ,3-bedroom Beautiful Townhome,3.0,1425.0,13.7,2300,Centreville
444,2021-07-17, Woodbridge northern virginia ,Private Garden Level of townhome,1.0,750.0,13.8,1000,Woodbridge
446,2021-07-12, Woodbridge northern virginia ,"1,995/ 3 finished level – Townhouse in Woodbridge – 22191",3.0,1498.0,13.8,1995,Woodbridge
452,2021-07-16, Michigan Park district of columbia ,Three-Bedroom Michigan Park Abode!,3.0,1850.0,13.9,2850,DC
458,2021-07-17," 856 Venable Pl NW, Washington, DC district of columbia ",Bright colorful house & has 3 bedrooms 3 baths!,3.0,2144.0,14.2,1250,DC
460,2021-07-17, Woodbridge northern virginia ,1br - Basement for rent in Woodbridge Utilities included,1.0,1000.0,14.2,1000,Woodbridge
461,2021-07-17, Woodbridge northern virginia ,1br - Basement for rent in Woodbridge Utilities included,1.0,1000.0,14.2,1000,Woodbridge
463,2021-07-12, Temple Hills maryland ,Beautiful Upgraded 3 bedrooms,3.0,2100.0,14.4,2500,Temple Hills
464,2021-07-15," Washington, DC district of columbia ",Charming 3 Bedroom 2 bath Brick Brookland detached Home,3.0,1650.0,14.5,1150,DC
